"id","name_zh","name_en","election_type","person_id","matched","year","cacode","constituency_id","age","political_affiliation","camp","candidate_number","occupation","nominated_at","nominate_status","votes","vote_percentage","is_won"
4537,"丁偉良","","ordinary",2500,,2019,"D16",,,"沒有政治聯繫","民主",,"教師","2019-10-05","nominated",0,0,false
4538,"梁進","","ordinary",2501,,2019,"D16",,,"自由黨","建制",,"公司董事","2019-10-08","nominated",0,0,false
4539,"陳順意","","ordinary",2502,,2019,"D17",,,"無黨派候選人","其他",,"退休人仕","2019-10-08","nominated",0,0,false
4540,"李佩英","","ordinary",1657,,2019,"D17",,," ","建制",,"董事","2019-10-08","nominated",0,0,false
4541,"梁幸輝","","ordinary",2503,,2019,"E01",,,"獨立候選人","其他",,"總幹事","2019-10-08","nominated",0,0,false
4542,"潘景和","","ordinary",2750,,2019,"E01",,,"民建聯","建制",,"市場總監","2019-10-09","nominated",0,0,false
4543,"馮檢基","","ordinary",1368,,2019,"E01",,," ",,,"政治人","2019-10-09","nominated",0,0,false
4544,"李穎妍","","ordinary",2504,,2019,"E02",,,"民主黨","民主",,"立法會議員助理","2019-10-04","nominated",0,0,false
4545,"孔昭華","","ordinary",46,,2019,"E02",,,"民建聯","建制",,"公司董事","2019-10-05","nominated",0,0,false
4546,"胡穗珊","","ordinary",2505,,2019,"E04",,,"社區前進","民主",,"社區幹事","2019-10-04","nominated",0,0,false
4547,"楊子熙","","ordinary",1148,,2019,"E04",,,"民建聯","建制",,"區議員","2019-10-09","nominated",0,0,false
4548,"李偉峰","","ordinary",420,,2019,"E05",,,"民主黨","民主",,"立法會議員助理","2019-10-04","nominated",0,0,false
4549,"鍾港武","","ordinary",1252,,2019,"E05",,,"民建聯","建制",,"區議員","2019-10-09","nominated",0,0,false
4550,"許德亮","","ordinary",971,,2019,"E06",,," ","建制",,"區議員、社工","2019-10-04","nominated",0,0,false
4551,"陳源彬","","ordinary",1543,,2019,"E06",,,"獨立民主派","民主",," ","2019-10-04","nominated",0,0,false
4552,"余德寶","","ordinary",1738,,2019,"E07",,,"公民黨","民主",,"區議員","2019-10-08","nominated",0,0,false
4553,"涂謹申","","ordinary",1027,,2019,"E08",,,"民主黨","民主",,"律師、立法會議員","2019-10-04","nominated",0,0,false
4554,"鍾澤暉","","ordinary",1899,,2019,"E09",,," ","建制",,"全職區議員","2019-10-04","nominated",0,0,false
4555,"伍僥敏","","ordinary",2506,,2019,"E09",,,"公民黨","民主",,"立法會議員助理","2019-10-08","nominated",0,0,false
4556,"曾自鳴","","ordinary",2507,,2019,"E10",,,"民主黨","民主",,"立法會議員助理","2019-10-04","nominated",0,0,false
4557,"蔡少峰","","ordinary",784,,2019,"E10",,,"民建聯","建制",," ","2019-10-09","nominated",0,0,false
4558,"李傲然","","ordinary",2508,,2019,"E11",,," ","民主",,"大學校董","2019-10-08","nominated",0,0,false
4559,"劉柏祺","","ordinary",567,,2019,"E11",,,"民建聯","建制",,"區議員、社區工作者","2019-10-09","nominated",0,0,false
4560,"李國權","","ordinary",2450,,2019,"E12",,,"社區前進","民主",,"註冊社工","2019-10-04","nominated",0,0,false
4561,"林兆彬","","ordinary",2509,,2019,"E14",,,"社區前進","民主",,"註冊社工","2019-10-04","nominated",0,0,false
4562,"仇振輝","","ordinary",2175,,2019,"E15",,," ","建制",,"公司經理","2019-10-04","nominated",0,0,false
4563,"朱江瑋","","ordinary",2510,,2019,"E15",,,"社區前進","民主",," ","2019-10-04","nominated",0,0,false
4564,"林健文","","ordinary",1302,,2019,"E16",,,"無政黨民主派","民主",,"律師","2019-10-04","nominated",0,0,false
4565,"李文傑","","ordinary",2511,,2019,"E16",,," ","建制",," ","2019-10-04","nominated",0,0,false
4566,"朱子洛","","ordinary",2512,,2019,"E17",,,"民主黨","民主",,"研究主任","2019-10-04","nominated",0,0,false
4567,"鄧銘心","","ordinary",864,,2019,"E17",,," ","建制",,"土木工程師","2019-10-08","nominated",0,0,false
4568,"何富榮","","ordinary",2513,,2019,"E18",,,"獨立","民主",,"金融分析員","2019-10-08","nominated",0,0,false
4569,"楊鎮華","","ordinary",1507,,2019,"E18",,,"民建聯","建制",,"信息及通訊技術專家","2019-10-09","nominated",0,0,false
4570,"葉傲冬","","ordinary",90,,2019,"E19",,,"民建聯","建制",,"新聞行政人員、區議員","2019-10-09","nominated",0,0,false
4571,"賀卓軒","","ordinary",2514,,2019,"E20",,,"社區前進","民主",,"註冊社工","2019-10-04","nominated",0,0,false
4572,"關秀玲","","ordinary",925,,2019,"E20",,,"民建聯","建制",,"區議員","2019-10-09","nominated",0,0,false
4573,"麥偉明","","ordinary",678,,2019,"F01",,,"民協","民主",," ","2019-10-04","nominated",0,0,false
4574,"譚振宇","","ordinary",2515,,2019,"F01",,,"香港經濟民生聯盟","建制",," ","2019-10-04","nominated",0,0,false
