id,name_en,name_zh,estimated_yob,yod,gender,related_organization,uuid,fc_uuid,description_zh,description_en
125,"WONG Kwok-hong, Simon",黃國康,1969,,MALE,,058bf888-a034-4bb5-b3be-0cc72d565974,,,
1184,WONG Kwok-keung,黃國強,1958,,MALE,,57edc895-e9f8-4813-ac39-46bf0c2161b5,,,
1853,WONG KWOK YAN,黃國恩,1900,,MALE,,68e1a2e9-530b-46d6-ae1c-9284ee7e0ce0,,,
590,WONG Kwok-sun,黃國新,1952,,MALE,,9022a0f4-2692-4dea-bdbb-d2fa182e5a92,,,
490,WONG KWOK TUNG,黃國桐,1949,,MALE,,621c978c-2473-4c08-a0a4-f08b57c7d7d2,a246437a-3bb0-4cce-95f4-f30c97bc4173,,
28,WONG KWOK HUNG,黃國雄,1957,,MALE,,e404a204-505e-4f9c-9b49-5552ee74a784,,,
669,WONG Kin-shing,黃堅成,1950,,MALE,,3185f3cd-ccc9-4b45-b7c9-73bf22f8149e,,,
1541,WONG TIN YAU,黃天佑,1982,,MALE,,c62fd631-be59-4104-98b8-f10db32f005a,,,
658,WONG TIN LUNG,黃天龍,1973,,MALE,,ae2de3c5-a29d-4709-a3ad-c2fd9c8c26bf,,,
1822,WONG CHI KEN,黃子健,1977,,MALE,東九龍社區關注組,6dadbd35-85d2-4b2f-92bb-3b4a62e0b8aa,7c22720d-47f9-4ea4-ac2f-d8b491c46cda,,
1487,WONG TZE HEI CODY,黃子希,1981,,MALE,,d149b901-36d9-486a-bf2a-537b0ce956b2,,,
2632,WONG Chi-ngai,黃子毅,,,MALE,無黨派,030d29ac-1052-4f13-969a-83e02a0f02bc,8ad0914a-73d9-4a66-81d6-54b5304cf348,,
1610,WONG HOK LAI,黃學禮,1993,,MALE,"沙田社區網絡,社區網絡聯盟,沙田區政,區政聯盟",a382df51-1aac-48bc-9bae-e3b15a35c3cd,e2d9f070-ec4a-4137-9f16-ca2ef854ce47,,
1793,WONG YUE HON,黃宇翰,1981,,MALE,公民力量,deb7d726-6475-4ce6-b093-2d9a8c97e34b,d4b9effd-fc11-43ae-a475-bdbbf8c43218,,
2855,WONG Sau-tung,黃守東,1984,,MALE,,2779b84a-b6ce-4083-812a-5c867846469f,adad97a7-d875-45c8-aacc-1ace0630c974,,
2375,WONG WANG TAI,黃宏泰,1964,,MALE,香港島各界聯合會,d1ab6a3b-3bd8-4c6a-8c19-7c958bb6d95c,83e0ce5a-dddb-4964-b587-c7f302e7621c,,
1029,WONG Wang-to,黃宏滔,1978,,MALE,工聯會,8240e271-19a8-4f60-b143-d8b477bbe87d,27d530a5-f474-4853-ab15-f6427ebb636e,,
2919,WONG Ting-yan Color,黃定欣,,,FEMALE, ,f465a5e9-d88c-49bb-b810-f709d4df89a1,eb47d792-fd2f-43f2-a44a-c5e4a155a217,,
